,brand,model,price,year,kilometer,fuel,gear
235,Skoda,Octavia,2400,2003,296080,Bensiini,Manuaali
236,Nissan,Qashqai,19900,2019,60400,Bensiini,Manuaali
237,Volvo,V90,49950,2019,65000,-,Automaatti
238,Ford,Focus,700,2002,325000,Bensiini,Manuaali
241,SEAT,Leon,3500,2008,164000,Bensiini,Manuaali
242,Ford,Mondeo,500,1998,245000,Bensiini,Manuaali
243,Volkswagen,Golf Plus,2280,2006,245500,Diesel,Manuaali
244,Peugeot,307,1500,2005,160000,Bensiini,-
245,Ford,Mondeo,999,2003,340000,Bensiini,Manuaali
246,Chevrolet,Aveo,1499,2007,250000,Bensiini,Manuaali
247,Mercedes-Benz,B-sarja,8900,2009,142000,Diesel,Automaatti
249,Toyota,Yaris,16900,2018,21400,Bensiini,Automaatti
250,Hyundai,i30,7490,2011,113000,Bensiini,Automaatti
251,Mercedes-Benz,EQC,71800,2020,12000,Sähkö,Automaatti
252,Audi,A4,1000,2001,420000,Bensiini,-
253,Volkswagen,Golf,4790,2008,234000,Diesel,Manuaali
254,Opel,Kadett,3333,1987,59159,Bensiini,Manuaali
255,Volkswagen,Passat,2400,0,308000,Diesel,-
256,Renault,Captur,11580,2015,119000,Bensiini,Automaatti
257,Saab,9-3,950,1998,270000,-,-
258,Volkswagen,Passat,1950,2002,350000,Bensiini,Manuaali
259,Nissan,Elgrand,10990,2003,131000,Bensiini,Automaatti
260,Ford,Mondeo,14750,2016,194000,Diesel,Automaatti
261,BMW,116,4990,2008,238000,Bensiini,Manuaali
262,Toyota,Aygo,4800,2008,82000,Bensiini,Manuaali
263,Mercedes-Benz,CLS,8500,2005,303000,Bensiini,Automaatti
264,BMW,X3,21900,2012,188000,Bensiini,Automaatti
265,Saab,9-3,1000,2001,235000,Bensiini,Manuaali
267,Toyota,Avensis,7500,2010,251000,Bensiini,Manuaali
268,Volvo,V60,20990,2017,148000,-,Automaatti
269,Nissan,Qashqai,6200,2008,150176,Bensiini,Manuaali
270,Citroen,C4 Picasso,3980,2007,165000,Bensiini,-
